0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:11 +0900] "GET /Coffeesazo/js/popper.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:13 +0900] "GET /Coffeesazo/stick HTTP/1.1" 200 14237
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:13 +0900] "GET /Coffeesazo/js/jquery.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:13 +0900] "GET /Coffeesazo/js/bootstrap.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:13 +0900] "GET /Coffeesazo/js/popper.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:13 +0900] "GET /Coffeesazo/js/jquery.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:13 +0900] "GET /Coffeesazo/js/bootstrap.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:13 +0900] "GET /Coffeesazo/js/popper.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:13 +0900] "GET /Coffeesazo/stick HTTP/1.1" 200 14237
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:13 +0900] "GET /Coffeesazo/js/jquery.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:13 +0900] "GET /Coffeesazo/js/bootstrap.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:13 +0900] "GET /Coffeesazo/js/popper.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:13 +0900] "GET /Coffeesazo/js/jquery.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:13 +0900] "GET /Coffeesazo/js/bootstrap.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:13 +0900] "GET /Coffeesazo/js/popper.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:20 +0900] "GET /Coffeesazo/capsule HTTP/1.1" 200 13225
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:26 +0900] "GET /Coffeesazo/stick HTTP/1.1" 200 14237
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:26 +0900] "GET /Coffeesazo/js/jquery.min.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [02/Jan/2021:23:40:26 +0900] "GET /Coffeesazo/js/bootstrap.min.js HTTP/1.1" 404 845
